= World Cup 2006    # 32 Teams

== Angola (ANG)   # 23 players

 (9)  FW  Sidney Govou                       ##   19, Lyon (FRA)
(11)  FW  Sylvain Wiltord                    ##   80, Lyon (FRA)
(12)  FW  Thierry Henry                      ##   78, Arsenal (ENG)
(14)  FW  Louis Saha                         ##    9, Manchester United (ENG)
(20)  FW  David Trézéguet                    ##   63, Juventus (ITA)


== Ghana (GHA)   # 23 players

 (1)  GK  Sammy Adjei                        ##   31, Ashdod (ISR)
(16)  GK  George Owu                         ##    6, Ashanti Gold (GHA)
(22)  GK  Richard Kingson                    ##   33, Ankaraspor (TUR)

 (4)  DF  Samuel Kuffour                     ##   58, Roma (ITA)
 (5)  DF  John Mensah                        ##   33, Rennes (FRA)
 (6)  DF  Emmanuel Pappoe                    ##   27, Hapoel Kfar Saba (ISR)
 (7)  DF  Illiasu Shilla                     ##    2, Asante Kotoko (GHA)
(13)  DF  Habib Mohamed                      ##    1, King Faisal Babes (GHA)
(17)  DF  Daniel Quaye                       ##    7, Hearts of Oak (GHA)
(18)  DF  Eric Addo                          ##    6, PSV Eindhoven (NED)
(21)  DF  Issah Ahmed                        ##   10, Randers (DEN)

 (2)  MF  Hans Sarpei                        ##    7, Wolfsburg (GER)
 (8)  MF  Michael Essien                     ##   17, Chelsea (ENG)
 (9)  MF  Derek Boateng                      ##   11, AIK (SWE)
(10)  MF  Stephen Appiah                     ##   42, Fenerbahçe (TUR)
(11)  MF  Sulley Muntari                     ##   16, Udinese (ITA)
(15)  MF  John Paintsil                      ##   21, Hapoel Tel Aviv (ISR)
(23)  MF  Haminu Dramani                     ##    7, Red Star Belgrade (SRB)

 (3)  FW  Asamoah Gyan                       ##   13, Udinese (ITA)
(12)  FW  Alex Tachie-Mensah                 ##    5, St. Gallen (SUI)
(14)  FW  Matthew Amoah                      ##   16, Borussia Dortmund (GER)
(19)  FW  Razak Pimpong                      ##    4, Copenhagen (DEN)
(20)  FW  Otto Addo                          ##   13, Mainz 05 (GER)


== Croatia (CRO)   # 23 players

 (1)  GK  Stipe Pletikosa                    ##   50, Shakhtar Donetsk (UKR)
(12)  GK  Joey Didulica                      ##    4, Austria Wien (AUT)
(23)  GK  Tomislav Butina                    ##   28, Club Brugge (BEL)

 (3)  DF  Josip Šimunić                      ##   42, Hertha BSC (GER)
 (4)  DF  Robert Kovač                       ##   56, Juventus (ITA)
 (5)  DF  Igor Tudor                         ##   52, Juventus (ITA)
 (7)  DF  Dario Šimić                        ##   80, Milan (ITA)
(11)  DF  Mario Tokić                        ##   28, Austria Wien (AUT)
(13)  DF  Stjepan Tomas                      ##   48, Galatasaray (TUR)

 (2)  MF  Darijo Srna                        ##   36, Shakhtar Donetsk (UKR)
 (6)  MF  Jurica Vranješ                     ##   24, Werder Bremen (GER)
 (8)  MF  Marko Babić                        ##   33, Bayer Leverkusen (GER)
(10)  MF  Niko Kovač                         ##   58, Hertha BSC (GER)
(14)  MF  Luka Modrić                        ##    5, Dinamo Zagreb (CRO)
(15)  MF  Ivan Leko                          ##   13, Club Brugge (BEL)
(16)  MF  Jerko Leko                         ##   36, Dynamo Kyiv (UKR)
(19)  MF  Niko Kranjčar                      ##   21, Hajduk Split (CRO)
(20)  MF  Anthony Šerić                      ##   14, Panathinaikos (GRE)

 (9)  FW  Dado Pršo                          ##   29, Rangers (SCO)
(17)  FW  Ivan Klasnić                       ##   20, Werder Bremen (GER)
(18)  FW  Ivica Olić                         ##   36, CSKA Moscow (RUS)
(21)  FW  Boško Balaban                      ##   27, Club Brugge (BEL)
(22)  FW  Ivan Bošnjak                       ##   13, Dinamo Zagreb (CRO)


== Iran (IRN)   # 23 players

 (1)  GK  Ebrahim Mirzapour                  ##   64, Foolad (IRN)
(12)  GK  Hassan Roudbarian                  ##    3, Pas (IRN)
(22)  GK  Vahid Talebloo                     ##    1, Esteghlal (IRN)

 (3)  DF  Sohrab Bakhtiarizadeh              ##   31, Saba Battery (IRN)
 (4)  DF  Yahya Golmohammadi                 ##   69, Saba Battery (IRN)
 (5)  DF  Rahman Rezaei                      ##   43, Messina (ITA)
(13)  DF  Hossein Kaebi                      ##   44, Foolad (IRN)
(19)  DF  Amir Hossein Sadeghi               ##    1, Esteghlal (IRN)
(20)  DF  Mohammad Nosrati                   ##   44, Pas (IRN)

 (2)  MF  Mehdi Mahdavikia                   ##   89, Hamburg (GER)
 (6)  MF  Javad Nekounam                     ##   71, Al-Sharjah (UAE)
 (7)  MF  Ferydoon Zandi                     ##   10, Kaiserslautern (GER)
 (8)  MF  Ali Karimi                         ##   90, Bayern Munich (GER)
(14)  MF  Andranik Teymourian                ##    7, Abu Moslem (IRN)
(18)  MF  Moharram Navidkia                  ##   24, Bochum (GER)
(21)  MF  Mehrzad Madanchi                   ##    6, Persepolis (IRN)
(23)  MF  Masoud Shojaei                     ##    3, Saipa (IRN)

 (9)  FW  Vahid Hashemian                    ##   28, Hannover 96 (GER)
(10)  FW  Ali Daei                           ##  147, Saba Battery (IRN)
(11)  FW  Rasoul Khatibi                     ##   12, Sepahan (IRN)
(15)  FW  Arash Borhani                      ##   20, Pas (IRN)
(16)  FW  Reza Enayati                       ##   15, Esteghlal (IRN)
(17)  FW  Javad Kazemian                     ##   25, Persepolis (IRN)


== Italy (ITA)   # 23 players

 (1)  GK  Gianluigi Buffon                   ##   60, Juventus (ITA)
(12)  GK  Angelo Peruzzi                     ##   31, Lazio (ITA)
(14)  GK  Marco Amelia                       ##    1, Livorno (ITA)

 (2)  DF  Cristian Zaccardo                  ##   12, Palermo (ITA)
 (3)  DF  Fabio Grosso                       ##   17, Palermo (ITA)
 (5)  DF  Fabio Cannavaro                    ##   93, Juventus (ITA)
 (6)  DF  Andrea Barzagli                    ##    8, Palermo (ITA)
(13)  DF  Alessandro Nesta                   ##   74, Milan (ITA)
(19)  DF  Gianluca Zambrotta                 ##   52, Juventus (ITA)
(22)  DF  Massimo Oddo                       ##   20, Lazio (ITA)
(23)  DF  Marco Materazzi                    ##   28, Internazionale (ITA)

 (4)  MF  Daniele De Rossi                   ##   17, Roma (ITA)
 (8)  MF  Gennaro Gattuso                    ##   43, Milan (ITA)
(16)  MF  Mauro Camoranesi                   ##   21, Juventus (ITA)
(17)  MF  Simone Barone                      ##   13, Palermo (ITA)
(20)  MF  Simone Perrotta                    ##   24, Roma (ITA)
(21)  MF  Andrea Pirlo                       ##   24, Milan (ITA)

 (7)  FW  Alessandro Del Piero               ##   74, Juventus (ITA)
 (9)  FW  Luca Toni                          ##   18, Fiorentina (ITA)
(10)  FW  Francesco Totti                    ##   51, Roma (ITA)
(11)  FW  Alberto Gilardino                  ##   15, Milan (ITA)
(15)  FW  Vincenzo Iaquinta                  ##   12, Udinese (ITA)
(18)  FW  Filippo Inzaghi                    ##   49, Milan (ITA)


== Japan (JPN)   # 23 players

 (1)  GK  Seigo Narazaki                     ##   50, Nagoya Grampus Eight (JPN)
(12)  GK  Yoichi Doi                         ##    4, FC Tokyo (JPN)
(23)  GK  Yoshikatsu Kawaguchi               ##   89, Júbilo Iwata (JPN)

 (2)  DF  Teruyuki Moniwa                    ##    8, FC Tokyo (JPN)
 (3)  DF  Yūichi Komano                      ##    8, Sanfrecce Hiroshima (JPN)
