= World Cup 1970    # 16 Teams

== Belgium (BEL)   # 22 players

(18)  DF  Guillermo Castro                   ##    -, Atlético Marte 

 (6)  MF  José Quintanilla                   ##    -, Atlético Marte 
 (7)  MF  Mauricio Rodríguez                 ##    -, Universidad 
 (8)  MF  Jorge Vásquez                      ##    -, Universidad 
 (9)  MF  Juan Ramón Martínez                ##    -, Águila 
(16)  MF  Genaro Sarmeno                     ##    -, CD FAS 
(19)  MF  Sergio Méndez                      ##    -, Atlético Marte 
(22)  MF  Alberto Villalta                   ##    -, Atlético Marte 

(10)  FW  Salvador Cabezas                   ##    -, Adler San Nicolas 
(11)  FW  Ernesto Aparicio                   ##    -, Atlético Marte 
(12)  FW  Mario Monge                        ##    -, CD FAS 
(15)  FW  David Cabrera                      ##    -, CD FAS 
(17)  FW  Jaime Portillo                     ##    -, Alianza FC 
(21)  FW  Elmer Acevedo                      ##    -, CD FAS 


== Czechoslovakia (TCH)   # 22 players

 (1)  GK  Ivo Viktor                         ##   19, VTJ Dukla Praha 
(13)  GK  Anton Flešár                       ##    1, Lokomotíva Košice 
(22)  GK  Alexander Vencel                   ##   12, TJ Slovan CHZJD 

 (2)  DF  Karol Dobiaš                       ##    9, Spartak TAZ Trnava 
 (3)  DF  Václav Migas                       ##    4, TJ Sparta ČKD Praha 
 (4)  DF  Vladimír Hagara                    ##   10, Spartak TAZ Trnava 
 (5)  DF  Alexander Horváth                  ##   24, TJ Slovan CHZJD 
(12)  DF  Ján Pivarník                       ##    6, VSS Košice 
(14)  DF  Vladimír Hrivnák                   ##    4, TJ Slovan CHZJD 
(15)  DF  Ján Zlocha                         ##    3, TJ Slovan CHZJD 

 (7)  MF  Bohumil Veselý                     ##   13, TJ Sparta ČKD Praha 
 (9)  MF  Ladislav Kuna                      ##   22, Spartak TAZ Trnava 
(16)  MF  Ivan Hrdlička                      ##   13, TJ Slovan CHZJD 
(17)  MF  Jaroslav Pollák                    ##    5, VSS Košice 
(18)  MF  František Veselý                   ##   16, Slavia Prague 
(19)  MF  Josef Jurkanin                     ##    8, TJ Sparta ČKD Praha 

 (6)  FW  Andrej Kvašňák                     ##   49, RFC Malinois 
 (8)  FW  Ladislav Petráš                    ##    1, TJ Internacionál Slovnaft 
(10)  FW  Jozef Adamec                       ##   30, Spartak TAZ Trnava 
(11)  FW  Karol Jokl                         ##   18, TJ Slovan CHZJD 
(20)  FW  Milan Albrecht                     ##    2, Jednota Trenčín 
(21)  FW  Ján Čapkovič                       ##    4, TJ Slovan CHZJD 


== Soviet Union (URS)   # 22 players

 (1)  GK  Leonid Shmuts                      ##    0, CSKA Moscow 
 (2)  GK  Anzor Kavazashvili                 ##   25, Spartak Moscow 
(13)  GK  Lev Yashin                         ##   74, Dynamo Moscow 

 (3)  DF  Valentin Afonin                    ##   38, SKA Rostov 
 (4)  DF  Revaz Dzodzuashvili                ##   10, Dynamo Tblisi 
 (5)  DF  Vladimir Kaplichny                 ##   22, CSKA Moscow 
 (6)  DF  Evgeny Lovchev                     ##   10, Spartak Moscow 
 (7)  DF  Gennady Logofet                    ##   15, Spartak Moscow 
 (8)  DF  Murtaz Khurtsilava                 ##   39, Dynamo Tblisi 
 (9)  DF  Albert Shesternyov                 ##   74, CSKA Moscow 

(10)  MF  Valery Zikov                       ##    1, Dynamo Moscow 
(11)  MF  Kakhi Asatiani                     ##   10, Dynamo Tblisi 
(12)  MF  Nikolay Kiselyov                   ##    8, Spartak Moscow 
(14)  MF  Vladimir Muntyan                   ##   13, Dynamo Kiev 
(15)  MF  Viktor Serebryanikov               ##   19, Dynamo Kiev 

(16)  FW  Anatoliy Byshovets                 ##   29, Dynamo Kiev 
(17)  FW  Gennady Yevriuzhikin               ##   13, Dynamo Moscow 
(18)  FW  Slava Metreveli                    ##   48, Dynamo Tblisi 
(19)  FW  Givi Nodia                         ##   10, Dynamo Tblisi 
(20)  FW  Anatoliy Puzach                    ##   10, Dynamo Kiev 
(21)  FW  Vitaly Khmelnitsky                 ##   13, Dynamo Kiev 
(22)  FW  Valeriy Porkujan                   ##    8, Chornomorets Odessa 


== Uruguay (URU)   # 22 players

 (1)  GK  Ladislao Mazurkiewicz              ##    -, Peñarol 
(12)  GK  Héctor Santos                      ##    -, Bella Vista 
(22)  GK  Walter Corbo                       ##    -, Peñarol 

 (2)  DF  Atilio Ancheta                     ##    -, Nacional 
 (3)  DF  Roberto Matosas                    ##    -, Peñarol 
 (4)  DF  Luis Ubiñas                        ##    -, Nacional 
 (6)  DF  Juan Mujica                        ##    -, Nacional 
(14)  DF  Francisco Cámera                   ##    -, Bella Vista 
(16)  DF  Omar Caetano                       ##    -, Peñarol 
(18)  DF  Alberto Gómez                      ##    -, Liverpool 
(19)  DF  Oscar Zubia                        ##    -, River Plate 

 (5)  MF  Julio Montero Castillo             ##    -, Nacional 
 (7)  MF  Luis Cubilla                       ##    -, Nacional 
 (8)  MF  Pedro Rocha                        ##    -, Peñarol 
 (9)  MF  Víctor Espárrago                   ##    -, Nacional 
(10)  MF  Ildo Maneiro                       ##    -, Nacional 
(13)  MF  Rodolfo Sandoval                   ##    -, Peñarol 

(11)  FW  Julio Morales                      ##    -, Nacional 
(15)  FW  Dagoberto Fontes                   ##    -, Defensor 
(17)  FW  Rúben Bareño                       ##    -, Cerro 
(20)  FW  Julio César Cortés                 ##    -, Peñarol 
(21)  FW  Julio Losada                       ##    -, Peñarol 

